"ISO","SPID","adm1_name","vac","pop"
"LBR","LBR_8","Lofa",0.900561983072594,375626.22270491
"LBR","LBR_9","Margibi",0.896895236009509,374566.110508691
"MLI","MLI_1","Bamako",0.504961456306502,2256282.56412879
"MLI","MLI_2","Gao",0.374554761801906,683051.208365151
"MLI","MLI_3","Kayes",0.883360426889018,2506255.74001486
"MLI","MLI_4","Kidal",0.374554761801906,84745.4206763942
"MLI","MLI_5","Koulikoro",0.899851999129469,3048000.45740233
"MLI","MLI_6","Mopti",0.666105723923514,2529065.90425364
"MLI","MLI_7","Segou",0.835803179619671,2923755.15557417
"MLI","MLI_8","Sikasso",0.898413276791839,3284708.97884206
"MLI","MLI_9","Timbuktu",0.374554761801906,853483.997174873
"MRT","MRT_1","Adrar",0.0702133146967051,73900.1970546458
"MRT","MRT_10","Nouakchott",0.070213314696705,1117456.0586757
"MRT","MRT_11","Tagant",0.070213314696705,94796.6590349572
"MRT","MRT_12","Tiris Zemmour",0.070213314696705,62681.1418314904
"MRT","MRT_13","Trarza",0.070213314696705,311295.217139827
"MRT","MRT_2","Assaba",0.070213314696705,382043.808927082
"MRT","MRT_3","Brakna",0.070213314696705,362164.905598126
"MRT","MRT_4","Dakhlet Nouadhibou",0.070213314696705,140467.84762395
"MRT","MRT_5","Gorgol",0.070213314696705,419890.159923943
"MRT","MRT_6","Guidimaka",0.070213314696705,321778.191162639
"MRT","MRT_7","Hodh ech Chargui",0.070213314696705,505037.677719837
"MRT","MRT_8","Hodh el Gharbi",0.070213314696705,348542.103607128
"MRT","MRT_9","Inchiri",0.070213314696705,21956.418908806
"NER","NER_1","Agadez",0.353949049129836,687103.178799899
"NER","NER_2","Diffa",0.353949049129835,671157.37368351
"NER","NER_3","Dosso",0.353949049129836,2721584.51579875
"NER","NER_4","Maradi",0.353949049129835,4151989.72035489
"NER","NER_5","Niamey",0.353949049129835,1796141.74297123
"NER","NER_6","Tahoua",0.353949049129835,3608515.76409036
"NER","NER_7","Tillabery",0.35703934086529,3369720.20048759
"NER","NER_8","Zinder",0.353949049129835,3874453.45379101
"NGA","NGA_1","Abia",0.196103097877317,3483336.36361951
"NGA","NGA_10","Delta",0.359274830843178,5043718.06792387
"NGA","NGA_11","Ebonyi",0.196103097877317,2582824.99094648
"NGA","NGA_12","Edo",0.359274830843178,4037953.47269175
"NGA","NGA_13","Ekiti",0.196103097877317,2819422.41208791
"NGA","NGA_14","Enugu",0.196103097877317,4148041.37186701
"NGA","NGA_15","Federal Capital Territory",0.196103097877317,3192303.91797853
"NGA","NGA_16","Gombe",0.19910459074268,3096720.04865179
"NGA","NGA_17","Imo",0.363751481804109,4974446.51169397
"NGA","NGA_18","Jigawa",0.196103097877317,5510558.65036343
"NGA","NGA_19","Kaduna",0.389326166582826,7609424.67094198
"NGA","NGA_2","Adamawa",0.19910459074268,3621516.20536663
"NGA","NGA_20","Kano",0.359274830843178,14335871.2400844
"NGA","NGA_21","Katsina",0.360672850012399,7170891.41289027
"NGA","NGA_22","Kebbi",0.196103097877317,4068937.6853641
"NGA","NGA_23","Kogi",0.212597054920668,4179084.14457228
"NGA","NGA_24","Kwara",0.637958047870333,3059375.62087855
"NGA","NGA_25","Lagos",0.388403113335566,18951858.8872159
"NGA","NGA_26","Nassarawa",0.807400716239282,2560056.05611278
"NGA","NGA_27","Niger",0.499846027049975,5083333.4339229
"NGA","NGA_28","Ogun",0.388403113335566,4271307.26353516
"NGA","NGA_29","Ondo",0.388403113335566,3967717.16473306
"NGA","NGA_3","Akwa Ibom",0.804586879516688,4964221.33442035
"NGA","NGA_30","Osun",0.196103097877317,4548988.02167035
"NGA","NGA_31","Oyo",0.388403113335566,7061887.3705955
"NGA","NGA_32","Plateau",0.3606728500124,3975649.56783642
"NGA","NGA_33","Rivers",0.196103097877317,6418637.17034127
"NGA","NGA_34","Sokoto",0.388403113335566,4541298.79158505
"NGA","NGA_35","Taraba",0.205514407930587,2900392.07930082
"NGA","NGA_36","Water body",0.196103097877317,128563.093290104
