"ISO","SPID","vac"
"TCD","TCD_13",0.203959050218383
"TCD","TCD_14",0.203959050218383
"TCD","TCD_15",0.203959050218383
"TCD","TCD_16",0.203959050218383
"TCD","TCD_17",0.203959050218383
"TCD","TCD_18",0.203959050218383
"TCD","TCD_2",0.203959050218383
"TCD","TCD_3",0.203959050218383
"TCD","TCD_4",0.203959050218383
"TCD","TCD_5",0.203959050218383
"TCD","TCD_6",0.203959050218383
"TCD","TCD_7",0.203959050218383
"TCD","TCD_8",0.203959050218383
"TCD","TCD_9",0.203959050218383
"TGO","TGO_1",0.171112113956089
"TGO","TGO_2",0.171112113956089
"TGO","TGO_3",0.171112113956089
"TGO","TGO_4",0.171112113956089
"TGO","TGO_5",0.171112113956089
"TZA","TZA_1",0
"TZA","TZA_10",0
"TZA","TZA_11",0
"TZA","TZA_12",0
"TZA","TZA_13",0
"TZA","TZA_14",0
"TZA","TZA_15",0
"TZA","TZA_16",0
"TZA","TZA_17",0
"TZA","TZA_18",0
"TZA","TZA_19",0
"TZA","TZA_2",0
"TZA","TZA_20",0
"TZA","TZA_21",0
"TZA","TZA_22",0
"TZA","TZA_23",0
"TZA","TZA_24",0
"TZA","TZA_25",0
"TZA","TZA_3",0
"TZA","TZA_4",0
"TZA","TZA_5",0
"TZA","TZA_6",0
"TZA","TZA_7",0
"TZA","TZA_8",0
"TZA","TZA_9",0
"UGA","UGA_1",0
"UGA","UGA_10",0
"UGA","UGA_11",0
"UGA","UGA_12",0
"UGA","UGA_13",0
"UGA","UGA_14",0
"UGA","UGA_15",0
"UGA","UGA_16",0
"UGA","UGA_17",0
"UGA","UGA_18",0
"UGA","UGA_19",0
"UGA","UGA_2",0
"UGA","UGA_20",0
"UGA","UGA_21",0
"UGA","UGA_22",0
"UGA","UGA_23",0
"UGA","UGA_24",0
"UGA","UGA_25",0
"UGA","UGA_26",0
"UGA","UGA_27",0
"UGA","UGA_28",0
"UGA","UGA_29",0
"UGA","UGA_3",0
"UGA","UGA_30",0
"UGA","UGA_31",0
"UGA","UGA_32",0
"UGA","UGA_33",0
"UGA","UGA_34",0
"UGA","UGA_35",0
"UGA","UGA_36",0
"UGA","UGA_37",0
"UGA","UGA_38",0
"UGA","UGA_39",0
"UGA","UGA_4",0
"UGA","UGA_40",0
"UGA","UGA_41",0
"UGA","UGA_42",0
"UGA","UGA_43",0
"UGA","UGA_44",0
"UGA","UGA_45",0
"UGA","UGA_46",0
"UGA","UGA_47",0
"UGA","UGA_48",0
"UGA","UGA_49",0
"UGA","UGA_5",0
"UGA","UGA_50",0
"UGA","UGA_51",0
"UGA","UGA_52",0
"UGA","UGA_53",0
"UGA","UGA_54",0
"UGA","UGA_55",0
"UGA","UGA_56",0
"UGA","UGA_57",0
"UGA","UGA_58",0
"UGA","UGA_6",0
"UGA","UGA_7",0
"UGA","UGA_8",0
"UGA","UGA_9",0
"ZMB","ZMB_1",0.00189805962305324
"ZMB","ZMB_2",0.00189805962305324
"ZMB","ZMB_3",0.00189805962305324
"ZMB","ZMB_4",0.00189805962305324
"ZMB","ZMB_5",0.00189805962305324
"ZMB","ZMB_6",0.00189805962305324
"ZMB","ZMB_7",0.00189805962305324
"ZMB","ZMB_8",0.00189805962305324
"ZMB","ZMB_9",0.00189805962305324
